 stop, street,0.003237
 st, street,0.001343
 street, st,0.001197
 street, stop,0.001083
 stop, traffic,0.000785
 way, street,0.000722
 delta, airliner,0.000602
 street, way,0.000583
 police, motor,0.000538
 air, airliner,0.000494
 street, street,0.00045
 snowbird, ski,0.000399
 ave, street,0.000399
 street, ave,0.000386
 kt, racket,0.00038
 one, street,0.00038
 13, ballplayer,0.000374
 w, racket,0.000374
 12, analog,0.000361
 w, street,0.000355
 airliner, air,0.000348
 stop, mailbox,0.000342
 rd, street,0.000336
 traffic, stop,0.000336
 street, one,0.000336
 kia, racket,0.000329
 way, traffic,0.000329
 av, street,0.000329
 2, ballplayer,0.000317
 police, police,0.000304
 school, school,0.000291
 tennis, racket,0.000272
 street, w,0.000272
 one, traffic,0.000266
 analog, 12,0.00026
 street, all,0.00026
 25, ballplayer,0.00026
 street, road,0.00026
 no, street,0.000253
 all, street,0.000247
 christopher, airliner,0.000247
 police, crash,0.000247
 analog, 1,0.000241
 traffic, one,0.000241
 5, ballplayer,0.000241
 15, ballplayer,0.000234
 street, av,0.000234
 a, racket,0.000234
 street, no,0.000234
 db, electric,0.000228
 racket, a,0.000228
 stop, parking,0.000228
 10, analog,0.000228
 us, racket,0.000222
 3, ballplayer,0.000222
 airways, airliner,0.000222
 8, ballplayer,0.000215
 crossing, street,0.000215
 street, rd,0.000215
 road, street,0.000215
 cabaret, airliner,0.000215
 e, street,0.000209
 n, street,0.000209
 p, traffic,0.000203
 airlines, airliner,0.000203
 12, ballplayer,0.000203
 ballplayer, w,0.000203
 com, ballplayer,0.000203
 traffic, way,0.000203
 2, passenger,0.000203
 street, traffic,0.000196
 analog, 2,0.000196
 america, ballplayer,0.000196
 photo, airliner,0.000196
 olivier, airliner,0.000196
 ana, airliner,0.000196
 motor, police,0.000196
 traffic, st,0.00019
 pizza, dining,0.00019
 british, airliner,0.00019
 right, traffic,0.00019
 bank, ballplayer,0.00019
 bus, trolleybus,0.00019
 racket, stop,0.000184
 airliner, stop,0.000184
 ibm, racket,0.000184
 analog, 10,0.000184
 dell, laptop,0.000184
 traffic, traffic,0.000184
 1, analog,0.000184
 st, traffic,0.000184
 ballplayer, stop,0.000184
 no, traffic,0.000177
 street, s,0.000177
 trolleybus, bus,0.000177
 boston, ballplayer,0.000177
 mark, airliner,0.000177
 new, ballplayer,0.000177
 traffic, no,0.000177
 street, n,0.000177
 of, ballplayer,0.000171
 32, ballplayer,0.000171
 national, passenger,0.000171
