image_id,word,objects,places 
COCO_train2014_000000000081.jpg,airfrance,airliner,airfield
COCO_train2014_000000000089.jpg,2010,microwave,utility_room
COCO_train2014_000000000109.jpg,some,lakeside,pier
COCO_train2014_000000000138.jpg,kefalotyri,radio,storage_room
COCO_train2014_000000000142.jpg,silk,bagel,beer_hall
COCO_train2014_000000000151.jpg,stop,canoe,playground
COCO_train2014_000000000247.jpg,l-17,wing,heliport
COCO_train2014_000000000250.jpg,gree,street,skyscraper
COCO_train2014_000000000260.jpg,5b,turnstile,airport_terminal
COCO_train2014_000000000368.jpg,pugg,soccer,soccer_field
COCO_train2014_000000000471.jpg,bu,school,bus_station/indoor
COCO_train2014_000000000529.jpg,malafeyev,crash,junkyard
COCO_train2014_000000000540.jpg,jal,airliner,runway
COCO_train2014_000000000605.jpg,by,tray,coffee_shop
COCO_train2014_000000000650.jpg,(nickel1715),tiger,watering_hole
COCO_train2014_000000000670.jpg,n,grocery,bakery/shop
COCO_train2014_000000000681.jpg,cabs,trolleybus,bus_station/indoor
COCO_train2014_000000000753.jpg,2012,cheetah,rope_bridge
COCO_train2014_000000000795.jpg,btment,bullet,train_station/platform
COCO_train2014_000000000901.jpg,f,cab,downtown
COCO_train2014_000000000908.jpg,music,barbershop,kitchen
COCO_train2014_000000000965.jpg,cc,ski,childs_room
COCO_train2014_000000001090.jpg,salvis,entertainment,mountain_snowy
COCO_train2014_000000001168.jpg,niidr,missile,science_museum
COCO_train2014_000000001224.jpg,16,zebra,science_museum
COCO_train2014_000000001238.jpg,reed,Indian,watering_hole
COCO_train2014_000000001311.jpg,delta,wing,runway
COCO_train2014_000000001536.jpg,tomatoes,pizza,pizzeria
COCO_train2014_000000001586.jpg,eagle,sarong,beauty_salon
COCO_train2014_000000001712.jpg,57315,electric,industrial_area
COCO_train2014_000000001720.jpg,photo,trolleybus,bus_station/indoor
COCO_train2014_000000001771.jpg,imaging,studio,youth_hostel
COCO_train2014_000000001774.jpg,hcn,tub,ski_slope
COCO_train2014_000000001811.jpg,2011,bannister,street
COCO_train2014_000000001877.jpg,first,streetcar,railroad_track
COCO_train2014_000000001902.jpg,agnee,web,berth
COCO_train2014_000000001915.jpg,auto,moped,plaza
COCO_train2014_000000001926.jpg,clean,washbasin,laundromat
COCO_train2014_000000001947.jpg,pandemic,library,library/indoor
COCO_train2014_000000001997.jpg,rockefeller,street,cemetery
COCO_train2014_000000002278.jpg,pohl,bannister,amphitheater
